,0
2436,10
2437,13
2438,45
2439,24
2440,18
2441,1
2442,15
2443,13
2444,2
2445,62
2446,15
2447,6
2448,6
2449,7
2450,6
2451,5
2452,19
2453,3
2454,1
2455,7
2456,27
2457,2
2458,27
2459,5
2460,15
2461,1
2462,27
2463,24
2464,5
2465,10
2466,4
2467,37
2468,13
2469,8
2470,48
2471,7
2472,10
2473,14
2474,16
2475,4
2476,58
2477,3
2478,1
2479,27
2480,4
2481,2
2482,12
2483,9
2484,6
2485,5
2486,1
2487,9
2488,11
2489,10
2490,10
2491,6
2492,23
2493,5
2494,25
2495,1
2496,21
2497,5
2498,4
2499,11
2500,17
2501,2
2502,3
2503,9
2504,3
2505,14
2506,50
2507,25
2508,61
2509,3
2510,11
2511,2
2512,25
2513,2
2514,18
2515,7
2516,2
2517,18
2518,34
2519,22
2520,6
2521,3
2522,33
2523,19
2524,12
2525,43
2526,3
2527,49
2528,39
2529,22
2530,18
2531,2
2532,6
2533,9
2534,16
2535,2
2536,17
2537,9
2538,4
2539,24
2540,2
2541,9
2542,15
2543,20
2544,2
2545,2
2546,23
2547,7
2548,19
2549,5
2550,1
2551,20
2552,49
2553,4
2554,20
2555,40
2556,3
2557,25
2558,9
2559,26
2560,14
2561,27
2562,1
2563,6
2564,29
2565,12
2566,13
2567,48
2568,3
2569,3
2570,17
2571,7
2572,11
2573,10
2574,4
2575,8
2576,3
2577,34
2578,6
2579,63
2580,27
2581,22
2582,38
2583,6
2584,6
2585,1
2586,7
2587,4
2588,15
2589,25
2590,20
2591,14
2592,13
2593,7
2594,8
2595,1
2596,8
2597,23
2598,4
2599,1
2600,7
2601,2
2602,13
2603,4
2604,19
2605,8
2606,6
2607,10
2608,6
2609,4
2610,7
2611,4
2612,64
2613,3
2614,3
2615,6
2616,18
2617,4
2618,4
2619,9
2620,22
2621,11
2622,10
2623,7
2624,6
2625,30
2626,14
2627,16
2628,43
2629,11
2630,6
2631,2
2632,32
2633,21
2634,24
2635,19
2636,4
2637,5
2638,2
2639,3
2640,2
2641,6
2642,33
2643,53
2644,38
2645,8
2646,7
2647,1
2648,2
2649,6
2650,6
2651,6
2652,4
2653,32
2654,15
2655,11
2656,1
2657,6
2658,5
2659,5
2660,19
2661,45
2662,3
2663,17
2664,4
2665,13
2666,2
2667,24
2668,1
2669,57
2670,1
2671,30
2672,3
2673,45
2674,26
2675,10
2676,2
2677,5
2678,2
2679,12
2680,2
2681,7
2682,22
2683,4
2684,3
2685,1
2686,4
2687,47
2688,2
2689,53
2690,5
2691,4
2692,13
2693,1
2694,3
2695,22
2696,41
2697,11
2698,3
2699,51
2700,56
2701,10
2702,4
2703,3
2704,6
2705,16
2706,10
2707,33
2708,2
2709,4
2710,3
2711,15
2712,26
2713,13
2714,24
2715,2
2716,4
2717,2
2718,43
2719,16
2720,10
2721,11
2722,9
2723,3
2724,2
2725,6
2726,5
2727,2
2728,64
2729,2
2730,1
2731,22
2732,2
2733,3
2734,40
2735,1
2736,5
2737,6
2738,55
2739,11
2740,4
2741,27
2742,12
2743,1
2744,50
2745,16
2746,3
2747,4
2748,1
2749,51
2750,23
2751,32
2752,3
2753,6
2754,4
2755,2
2756,7
2757,3
2758,10
2759,7
2760,6
2761,45
2762,7
2763,2
2764,26
2765,63
2766,9
2767,14
2768,13
2769,11
2770,7
2771,8
2772,7
2773,4
2774,1
2775,5
2776,1
2777,11
2778,56
2779,1
2780,12
2781,10
2782,36
2783,4
2784,55
2785,12
2786,44
2787,4
2788,1
2789,7
2790,27
2791,1
2792,39
2793,5
2794,1
2795,2
2796,1
2797,21
2798,3
2799,14
2800,19
2801,8
2802,8
2803,41
2804,19
2805,9
2806,4
2807,7
2808,4
2809,13
2810,30
2811,58
2812,6
2813,1
2814,25
2815,3
2816,20
2817,56
2818,7
2819,9
2820,60
2821,25
2822,7
2823,12
2824,4
2825,3
2826,1
2827,17
2828,5
2829,3
2830,10
2831,62
2832,6
2833,21
2834,4
2835,4
2836,37
2837,10
2838,9
2839,6
2840,32
2841,2
2842,5
2843,47
2844,1
2845,2
2846,3
2847,7
2848,14
2849,14
2850,3
2851,61
2852,7
2853,34
2854,2
2855,2
2856,12
2857,6
2858,7
2859,53
2860,3
2861,21
2862,2
2863,44
2864,5
2865,31
2866,19
2867,4
2868,7
2869,10
2870,21
2871,2
2872,7
2873,4
2874,6
2875,34
2876,3
2877,6
2878,1
2879,8
2880,15
2881,49
2882,32
2883,24
2884,40
2885,6
2886,11
2887,8
2888,2
2889,3
2890,3
2891,4
2892,6
2893,5
2894,1
2895,3
2896,9
2897,3
2898,4
2899,1
2900,10
2901,18
2902,4
2903,3
2904,7
2905,11
2906,33
2907,3
2908,47
2909,11
2910,7
2911,5
2912,6
2913,24
2914,32
2915,11
2916,1
2917,4
2918,1
2919,25
2920,20
2921,7
2922,8
2923,5
2924,10
2925,1
2926,9
2927,7
2928,3
2929,7
2930,4
2931,1
2932,20
2933,25
2934,35
2935,1
2936,5
2937,10
2938,7
2939,14
2940,1
2941,5
2942,11
2943,23
2944,24
2945,3
2946,48
2947,20
2948,13
2949,4
2950,6
2951,40
2952,19
2953,12
2954,3
2955,1
2956,9
2957,4
2958,15
2959,9
2960,7
2961,8
2962,3
2963,4
2964,17
2965,11
2966,10
2967,17
2968,32
2969,3
2970,2
2971,36
2972,4
2973,8
2974,60
2975,5
2976,22
2977,13
2978,8
2979,55
2980,50
2981,21
2982,27
2983,50
2984,6
2985,1
2986,55
2987,20
2988,64
2989,13
2990,24
2991,2
2992,44
2993,1
2994,4
